分类,标题,关键词(逗号分隔),通俗答案,官方出处,出处链接,咨询电话,备注
education,天河区公办小学入学（人户一致）,小学,公办,入学,户籍,人户一致,地段,适龄儿童按户籍地址所属地段划分到公办小学就读，"人户一致"（户籍与房产一致）优先安排。报名一般集中在每年5月，家长需留意当年招生简章，按要求在指定系统或学校登记材料。,广州市教育局 / 天河区教育局,待补充官方链接,020-12345（广州政务热线）,初稿：具体报名月份以当年公告为准
education,来穗人员随迁子女积分入学,随迁子女,积分入学,非本地户籍,外来,来穗人员随迁子女申请入读广州公办学校，实行积分入学：家长提交社保、居住、学历等材料累计积分，按分数排名安排学位。有意向的家庭需提前准备居住证和社保记录。,天河区教育局 / 广州12345,待补充官方链接,020-12345（广州政务热线）,初稿：积分规则以当年通知为准
education,港澳居民子女在广州就读,港澳,子女,就读,大湾区,公办学校,依据粤港澳大湾区政策，港澳居民随迁子女可在其居住地申请入读公办学校，与当地适龄儿童同等对待。家长可向居住地所在区教育局咨询具体流程。,天河区教育局,待补充官方链接,020-12345（广州政务热线）,初稿：建议重点核实天河区当年细则
education,公办初中入学与电脑派位,初中,小升初,派位,对口,公办初中招生通常采用对口直升或电脑派位方式，小学毕业生根据户籍和毕业学校情况分配学位。,天河区教育局,待补充官方链接,020-12345（广州政务热线）,初稿
medical,广州城乡居民医保参保,医保,城乡居民,参保,缴费,非就业居民（老人、学生、未就业人员）可参加广州市城乡居民医保，按年度缴费，享受住院、门诊等报销待遇。可通过"粤医保"小程序或户籍地街道办理。,广州市医保局 / 粤省事,待补充官方链接,020-12345（广州政务热线）,初稿：缴费标准每年有调整
medical,异地就医备案与直接结算,异地就医,备案,结算,医保,异地居住或转诊的参保人，就医前先办理异地就医备案，备案后在异地定点医院可直接联网结算，无需先垫付再报销。通过"粤医保"小程序或国家医保服务平台在线办理。,广州市医保局,待补充官方链接,020-12345（广州政务热线）,初稿
medical,家庭医生签约服务,家庭医生,签约,社区卫生,居民可在常住地社区卫生服务中心签约家庭医生，享受免费基本公共卫生服务、慢病管理等健康管理，签约不收费。,天河区卫生健康局,待补充官方链接,020-12345（广州政务热线）,初稿
housing,户籍家庭公租房申请,公租房,保障房,户籍,低收入,符合收入、住房等条件的广州户籍中低收入家庭可申请公租房，审核通过后参与摇号配租，租金低于市场水平。,广州市住房保障办公室,待补充官方链接,020-12345（广州政务热线）,初稿：条件以当年公告为准
housing,天河区人才公寓,人才公寓,人才,天河区,天河区面向认定人才提供人才公寓，符合人才认定标准的企业人才可申请，一般低于市场租金。具体以天河区人才服务部门发布为准。,天河区人力资源和社会保障局,待补充官方链接,020-12345（广州政务热线）,初稿：人才认定标准需核实
housing,住房租赁补贴,租赁补贴,住房,补贴,部分符合条件（如新就业、住房困难）家庭可申请住房租赁补贴，按月发放，缓解租金压力。,广州市住房保障办公室,待补充官方链接,020-12345（广州政务热线）,初稿：范围条件需核实
employment,创业担保贷款,创业贷款,担保,贴息,个人创业者可申请创业担保贷款，额度有上限、财政给予贴息，用于创业启动和经营周转，向经办银行或人社部门申请。,广州市人力资源和社会保障局,待补充官方链接,020-12345（广州政务热线）,初稿：额度上限以最新政策为准
employment,一次性创业补贴,创业补贴,一次性,高校毕业生,首次创办企业或个体工商户、符合条件的创业者（含高校毕业生、港澳青年等）可申领一次性创业补贴，补贴金额以最新政策为准。,天河区人力资源和社会保障局,待补充官方链接,020-12345（广州政务热线）,初稿
employment,港澳青年在天河创业扶持,港澳青年,创业,扶持,天河区,大湾区,天河区为港澳青年提供创新创业基地、场地优惠、创业补贴及一站式政策咨询等扶持，可联系天河区港澳青年创新创业服务中心。,天河区港澳青年创新创业基地,待补充官方链接,020-12345（广州政务热线）,初稿：重点亮点，建议详查
employment,就业见习补贴,就业见习,见习,补贴,毕业未就业青年可到见习基地参加就业见习，期间按规定领取见习补贴，见习基地也能申请相关补贴。,广州市人力资源和社会保障局,待补充官方链接,020-12345（广州政务热线）,初稿
social_security,灵活就业人员参保,灵活就业,社保,参保,灵活就业人员可以个人身份参加职工基本养老、医疗保险，按月缴费，享受与在职职工同等的待遇，通过"粤税通"或税务部门办理。,广州税务 / 粤税通,待补充官方链接,020-12345（广州政务热线）,初稿
social_security,社保卡申领,社保卡,申领,一卡通,参保人员可在银行网点或线上申领社会保障卡，用于医保结算、待遇领取等，线上线下都能激活使用。,广州市人力资源和社会保障局,待补充官方链接,020-12345（广州政务热线）,初稿
